x,y,z,d
0,8,1,132.6818462
0,8,2,141.0768786
0,8,3,147.4839869
0,8,4,151.4929691
0,8,5,152.8565608
0,8,6,151.4929691
0,8,7,147.4839869
0,8,8,141.0768786
0,8,9,132.6818462
0,8,10,122.84654
0,9,0,102.3448409
0,9,1,109.3792629
0,9,2,115.3432113
0,9,3,119.8806437
0,9,4,122.7170772
0,9,5,123.6817713
0,9,6,122.7170772
0,9,7,119.8806437
0,9,8,115.3432113
0,9,9,109.3792629
0,9,10,102.3448409
0,10,0,86.47179216
0,10,1,91.61967015
0,10,2,95.95338228
0,10,3,99.23643869
0,10,4,101.2841745
0,10,5,101.9800028
0,10,6,101.2841745
0,10,7,99.23643869
0,10,8,95.95338228
0,10,9,91.61967015
0,10,10,86.47179216
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,1,0,1632.951718
1,1,1,2492.546369
1,1,2,2834.484956
1,1,3,2972.518999
1,1,4,3031.926497
1,1,5,3048.949703
1,1,6,3031.926497
1,1,7,2972.518999
1,1,8,2834.484956
1,1,9,2492.546369
1,1,10,1632.951718
1,2,0,762.2374257
1,2,1,1007.755119
1,2,2,1171.724784
1,2,3,1262.786167
1,2,4,1307.687942
1,2,5,1321.221844
1,2,6,1307.687942
1,2,7,1262.786167
1,2,8,1171.724784
1,2,9,1007.755119
1,2,10,762.2374257
1,3,0,473.355627
1,3,1,581.1946409
1,3,2,666.0104562
1,3,3,721.9820004
1,3,4,752.7442562
1,3,5,762.4788516
1,3,6,752.7442562
1,3,7,721.9820004
1,3,8,666.0104562
1,3,9,581.1946409
1,3,10,473.355627
1,4,0,330.305461
1,4,1,387.8203082
1,4,2,435.8959807
1,4,3,470.4044917
1,4,4,490.6732485
1,4,5,497.3107384
1,4,6,490.6732485
1,4,7,470.4044917
1,4,8,435.8959807
1,4,9,387.8203082
1,4,10,330.305461
1,5,0,245.7870154
1,5,1,279.9627309
1,5,2,309.1801523
1,5,3,330.9945277
1,5,4,344.2773764
1,5,5,348.7167845
1,5,6,344.2773764
1,5,7,330.9945277
1,5,8,309.1801523
1,5,9,279.9627309
1,5,10,245.7870154
1,6,0,190.6197129
1,6,1,212.3693441
1,6,2,231.0734679
1,6,3,245.2762678
1,6,4,254.0791419
1,6,5,257.0531622
1,6,6,254.0791419
1,6,7,245.2762678
1,6,8,231.0734679
1,6,9,212.3693441
1,6,10,190.6197129
1,7,0,152.2397289
1,7,1,166.7616766
1,7,2,179.2278921
1,7,3,188.7459777
1,7,4,194.6896213
1,7,5,196.7076941
1,7,6,194.6896213
1,7,7,188.7459777
1,7,8,179.2278921
1,7,9,166.7616766
1,7,10,152.2397289
1,8,0,124.3276846
1,8,1,134.3806211
1,8,2,142.9647847
1,8,3,149.5170929
1,8,4,153.6168846
1,8,5,155.01131
1,8,6,153.6168846
1,8,7,149.5170929
1,8,8,142.9647847
1,8,9,134.3806211
1,8,10,124.3276846
1,9,0,103.3510178
1,9,1,110.5134974
1,9,2,116.588392
1,9,3,121.2112259
1,9,4,124.1013218
1,9,5,125.0842978
1,9,6,124.1013218
1,9,7,121.2112259
1,9,8,116.588392
1,9,9,110.5134974
1,9,10,103.3510178
1,10,0,87.17919614
1,10,1,92.40569672
1,10,2,96.80715173
1,10,3,100.1422862
1,10,4,102.2227724
1,10,5,102.9297692
1,10,6,102.2227724
1,10,7,100.1422862
1,10,8,96.80715173
1,10,9,92.40569672
1,10,10,87.17919614
2,0,0,1632.951718
2,0,1,2492.546369
2,0,2,2834.484956
2,0,3,2972.518999
2,0,4,3031.926497
2,0,5,3048.949703
2,0,6,3031.926497
2,0,7,2972.518999
2,0,8,2834.484956
2,0,9,2492.546369
2,0,10,1632.951718
2,1,0,1122.63126
2,1,1,1593.649955
2,1,2,1845.385872
2,1,3,1963.582929
2,1,4,2017.382012
2,1,5,2033.102289
2,1,6,2017.382012
2,1,7,1963.582929
2,1,8,1845.385872
2,1,9,1593.649955
2,1,10,1122.63126
2,2,0,670.5508432
2,2,1,867.6250158
2,2,2,1006.699239
2,2,3,1088.063295
2,2,4,1129.385495
2,2,5,1141.996418
