x,y,z,d
9,7,6,91.23761349
9,7,7,89.52902214
9,7,8,86.78538946
9,7,9,83.15397591
9,7,10,78.82278114
9,8,0,71.01664076
9,8,1,74.57885885
9,8,2,77.55176982
9,8,3,79.79072903
9,8,4,81.18231073
9,8,5,81.65440644
9,8,6,81.18231073
9,8,7,79.79072903
9,8,8,77.55176982
9,8,9,74.57885885
9,8,10,71.01664076
9,9,0,63.88449087
9,9,1,66.80286085
9,9,2,69.22709272
9,9,3,71.04676713
9,9,4,72.17537125
9,9,5,72.55786389
9,9,6,72.17537125
9,9,7,71.04676713
9,9,8,69.22709272
9,9,9,66.80286085
9,9,10,63.88449087
9,10,0,57.46355178
9,10,1,59.85175642
9,10,2,61.82650364
9,10,3,63.30383901
9,10,4,64.21813788
9,10,5,64.52767365
9,10,6,64.21813788
9,10,7,63.30383901
9,10,8,61.82650364
9,10,9,59.85175642
9,10,10,57.46355178
10,0,0,103.3510178
10,0,1,110.5134974
10,0,2,116.588392
10,0,3,121.2112259
10,0,4,124.1013218
10,0,5,125.0842978
10,0,6,124.1013218
10,0,7,121.2112259
10,0,8,116.588392
10,0,9,110.5134974
10,0,10,103.3510178
10,1,0,102.3448409
10,1,1,109.3792629
10,1,2,115.3432113
10,1,3,119.8806437
10,1,4,122.7170772
10,1,5,123.6817713
10,1,6,122.7170772
10,1,7,119.8806437
10,1,8,115.3432113
10,1,9,109.3792629
10,1,10,102.3448409
10,2,0,99.44541383
10,2,1,106.1163861
10,2,2,111.7656126
10,2,3,116.0607854
10,2,4,118.7449585
10,2,5,119.6577699
10,2,6,118.7449585
10,2,7,116.0607854
10,2,8,111.7656126
10,2,9,106.1163861
10,2,10,99.44541383
10,3,0,94.9754246
10,3,1,101.1024148
10,3,2,106.2811032
10,3,3,110.2141172
10,3,4,112.6705955
10,3,5,113.5057958
10,3,6,112.6705955
10,3,7,110.2141172
10,3,8,106.2811032
10,3,9,101.1024148
10,3,10,94.9754246
10,4,0,89.37524355
10,4,1,94.84911037
10,4,2,99.46383419
10,4,3,102.9629617
10,4,4,105.1465814
10,4,5,105.8887477
10,4,6,105.1465814
10,4,7,102.9629617
10,4,8,99.46383419
10,4,9,94.84911037
10,4,10,89.37524355
10,5,0,83.10561031
10,5,1,87.88649861
10,5,2,91.90429618
10,5,3,94.94458591
10,5,4,96.83966675
10,5,5,97.48343592
10,5,6,96.83966675
10,5,7,94.94458591
10,5,8,91.90429618
10,5,9,87.88649861
10,5,10,83.10561031
10,6,0,76.57341303
10,6,1,80.67625511
10,6,2,84.11180751
10,6,3,86.70519806
10,6,4,88.31937556
10,6,5,88.86735613
10,6,6,88.31937556
10,6,7,86.70519806
10,6,8,84.11180751
10,6,9,80.67625511
10,6,10,76.57341303
10,7,0,70.09393322
10,7,1,73.56965723
10,7,2,76.46870297
10,7,3,78.6511423
10,7,4,80.00724909
10,7,5,80.46725396
10,7,6,80.00724909
10,7,7,78.6511423
10,7,8,76.46870297
10,7,9,73.56965723
10,7,10,70.09393322
10,8,0,63.88449087
10,8,1,66.80286085
10,8,2,69.22709272
10,8,3,71.04676713
10,8,4,72.17537125
10,8,5,72.55786389
10,8,6,72.17537125
10,8,7,71.04676713
10,8,8,69.22709272
10,8,9,66.80286085
10,8,10,63.88449087
10,9,0,58.07690675
10,9,1,60.51369005
10,9,2,62.52952277
10,9,3,64.03809842
10,9,4,64.97193451
10,9,5,65.2881184
10,9,6,64.97193451
10,9,7,64.03809842
10,9,8,62.52952277
10,9,9,60.51369005
10,9,10,58.07690675
10,10,0,52.73724283
10,10,1,54.76600187
10,10,2,56.43745992
10,10,3,57.68455594
10,10,4,58.45501018
10,10,5,58.71562163
10,10,6,58.45501018
10,10,7,57.68455594
10,10,8,56.43745992
10,10,9,54.76600187
10,10,10,52.73724283
